2040,Chuniophoenix-suoitiensis
2041,Corypha-utan
2042,Guihaia-grossifibrosa
2043,Lanonia-acaulis
2044,Corypha-lecomtei
2045,Lanonia-gialaiensis
2046,Lanonia-hexasepala
2047,Lanonia-magalonii
2048,Lanonia-poilanei
2049,Lanonia-sp.-Nov-“kontumensis”
2050,Lanonia-sp.-Nov-“ngoclinhensis”
2055,Licuala-spinosa
2058,Rhapis-laoensis-subsp.-Macrantha
2059,Rhapis-micrantha
2060,Rhapis-puhuongensis
2061,Rhapis-robusta
2062,Rhapis-subtilis-subsp.-Siamensis
2063,Rhapis-vidalii
2064,Arenga-longicarpa
2065,Caryota-kiriwongensis
2066,Caryota-urens
2067,Wallichia-gracilis
2068,Livistona-jenkinsiana
2069,Rhapis-subtilis-subsp.-Subtilis
2070,Undetermined_S0_L001_R1_001
