old_name,new_name
Wolf_Eiserhardt_Bismarckia-nobilis-MSL41-S3_R2_001.fastq,1039_R2.fastq
Wolf_Eiserhardt_Borassodendron-borneense-SBL157-S6_R1_001.fastq,1040_R1.fastq
Wolf_Eiserhardt_Borassodendron-borneense-SBL157-S6_R2_001.fastq,1040_R2.fastq
Wolf_Eiserhardt_Borassus-flabellifer-SBL153_R1_001.fastq,1041_R1.fastq
Wolf_Eiserhardt_Borassus-flabellifer-SBL153_R2_001.fastq,1041_R2.fastq
Wolf_Eiserhardt_Brahea-edulis-MSL40-S40_R1_001.fastq,1042_R1.fastq
Wolf_Eiserhardt_Brahea-edulis-MSL40-S40_R2_001.fastq,1042_R2.fastq
Wolf_Eiserhardt_Caryota-rumphiana-MSL80_R1_001.fastq,1043_R1.fastq
Wolf_Eiserhardt_Caryota-rumphiana-MSL80_R2_001.fastq,1043_R2.fastq
Wolf_Eiserhardt_Chamaerops-humilis-MSL24_R1_001.fastq,1044_R1.fastq
Wolf_Eiserhardt_Chamaerops-humilis-MSL24_R2_001.fastq,1044_R2.fastq
Wolf_Eiserhardt_Chelyocarpus-chuco-SBL223_R1_001.fastq,1045_R1.fastq
Wolf_Eiserhardt_Chelyocarpus-chuco-SBL223_R2_001.fastq,1045_R2.fastq
Wolf_Eiserhardt_Chuniophoenix-nana-MSL18-S7_R1_001.fastq,1046_R1.fastq
Wolf_Eiserhardt_Chuniophoenix-nana-MSL18-S7_R2_001.fastq,1046_R2.fastq
Wolf_Eiserhardt_Coccothrinax-argentata-MSL26-S8_R1_001.fastq,1047_R1.fastq
Wolf_Eiserhardt_Coccothrinax-argentata-MSL26-S8_R2_001.fastq,1047_R2.fastq
Wolf_Eiserhardt_Colpothrinax-aphanopetala-SBL522_R1_001.fastq,1048_R1.fastq
Wolf_Eiserhardt_Colpothrinax-aphanopetala-SBL522_R2_001.fastq,1048_R2.fastq
Wolf_Eiserhardt_Copernicia-prunifera-SBL524_R1_001.fastq,1049_R1.fastq
Wolf_Eiserhardt_Copernicia-prunifera-SBL524_R2_001.fastq,1049_R2.fastq
Wolf_Eiserhardt_Corypha-umbraculifera-MSL25-S1_R1_001.fastq,1050_R1.fastq
Wolf_Eiserhardt_Corypha-umbraculifera-MSL25-S1_R2_001.fastq,1050_R2.fastq
Wolf_Eiserhardt_Cryosophila-warscewiczii-MSL16_R1_001.fastq,1051_R1.fastq
Wolf_Eiserhardt_Cryosophila-warscewiczii-MSL16_R2_001.fastq,1051_R2.fastq
Wolf_Eiserhardt_Guihaia-argyrata-MSL5_R1_001.fastq,1052_R1.fastq
Wolf_Eiserhardt_Guihaia-argyrata-MSL5_R2_001.fastq,1052_R2.fastq
Wolf_Eiserhardt_Hemithrinax-ekmaniana-SBL209_R1_001.fastq,1053_R1.fastq
Wolf_Eiserhardt_Hemithrinax-ekmaniana-SBL209_R2_001.fastq,1053_R2.fastq
Wolf_Eiserhardt_Hyphaene-coriacea-MSL19_R1_001.fastq,1054_R1.fastq
Wolf_Eiserhardt_Hyphaene-coriacea-MSL19_R2_001.fastq,1054_R2.fastq
Wolf_Eiserhardt_Itaya-amicorum-MSL28_R1_001.fastq,1055_R1.fastq
Wolf_Eiserhardt_Itaya-amicorum-MSL28_R2_001.fastq,1055_R2.fastq
Wolf_Eiserhardt_Johannesteijsmannia-altifrons-SBL576_R1_001.fastq,1056_R1.fastq
Wolf_Eiserhardt_Johannesteijsmannia-altifrons-SBL576_R2_001.fastq,1056_R2.fastq
Wolf_Eiserhardt_Kerriodoxa-elegans-MSL76_R1_001.fastq,1057_R1.fastq
Wolf_Eiserhardt_Kerriodoxa-elegans-MSL76_R2_001.fastq,1057_R2.fastq
Wolf_Eiserhardt_Lanonia-gracilis-MSL89_R1_001.fastq,1058_R1.fastq
Wolf_Eiserhardt_Lanonia-gracilis-MSL89_R2_001.fastq,1058_R2.fastq
Wolf_Eiserhardt_Latania-loddigesii-SBL151_R1_001.fastq,1059_R1.fastq
Wolf_Eiserhardt_Latania-loddigesii-SBL151_R2_001.fastq,1059_R2.fastq
Wolf_Eiserhardt_Leucothrinax-morrisii-MSL38-S33_R1_001.fastq,1060_R1.fastq
Wolf_Eiserhardt_Leucothrinax-morrisii-MSL38-S33_R2_001.fastq,1060_R2.fastq
Wolf_Eiserhardt_Licuala-telifera-MSL59-S13_R1_001.fastq,1061_R1.fastq
Wolf_Eiserhardt_Licuala-telifera-MSL59-S13_R2_001.fastq,1061_R2.fastq
Wolf_Eiserhardt_Livistona-australis-SBL322_R1_001.fastq,1062_R1.fastq
Wolf_Eiserhardt_Livistona-australis-SBL322_R2_001.fastq,1062_R2.fastq
Wolf_Eiserhardt_Lodoicea-maldivica-SBL236_R1_001.fastq,1063_R1.fastq
Wolf_Eiserhardt_Lodoicea-maldivica-SBL236_R2_001.fastq,1063_R2.fastq
Wolf_Eiserhardt_Maxburretia-furtadoana-SBL262_R1_001.fastq,1064_R1.fastq
Wolf_Eiserhardt_Maxburretia-furtadoana-SBL262_R2_001.fastq,1064_R2.fastq
Wolf_Eiserhardt_Nannorrhops-ritchieana-MSL48-S41_R1_001.fastq,1065_R1.fastq
Wolf_Eiserhardt_Nannorrhops-ritchieana-MSL48-S41_R2_001.fastq,1065_R2.fastq
Wolf_Eiserhardt_Phoenix-reclinata-MSL68-S22_R1_001.fastq,1066_R1.fastq
Wolf_Eiserhardt_Phoenix-reclinata-MSL68-S22_R2_001.fastq,1066_R2.fastq
Wolf_Eiserhardt_Pritchardia-arecina-MSL7_R1_001.fastq,1067_R1.fastq
Wolf_Eiserhardt_Pritchardia-arecina-MSL7_R2_001.fastq,1067_R2.fastq
Wolf_Eiserhardt_Rhapis-subtilis-MSL22-S31_R1_001.fastq,1068_R1.fastq
Wolf_Eiserhardt_Rhapis-subtilis-MSL22-S31_R2_001.fastq,1068_R2.fastq
Wolf_Eiserhardt_Sabal-bermudana-MSL23-S36_R1_001.fastq,1069_R1.fastq
